"","ctname","Latitude","Population","date1","date2","date3","date4","date5","date6","date7","date8","date9","date10","date11","date12","date13","date14","date15","date16","date17","date18","date19","date20","date21","date22","date23","date24","date25","date26","date27","date28","date29"
"2321","Louisiana-Orleans",30.068636,391006,0,0,0,0,0,0,0,0,0,4,10,15,26,65,74,94,136,196,249,326,418,451,567,675,827,997,1170,1298,1350
"2350","Maryland-Baltimore-city",39.443167,828431,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,6,10,12,19,19,28,35,42,51,81,103,141,162
"2379","Maryland-Harford",39.537429,253956,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,5,5,5,5,5,5,9,18,21,23
"2408","Maryland-Montgomery",39.137382,1052567,0,0,0,0,0,3,3,4,4,5,6,6,6,12,12,15,24,31,33,68,68,83,93,107,127,164,208,255,301
"2437","Maryland-Prince George's",38.82588,909308,0,0,0,0,0,0,0,0,3,3,4,4,6,9,9,10,14,20,23,36,36,40,47,63,76,101,148,196,247
"2466","Massachusetts-Berkshire",42.375314,126348,0,0,0,0,0,0,0,1,5,7,7,9,9,9,9,11,14,17,18,20,21,23,26,37,71,73,105,119,151
"2495","Massachusetts-Essex",42.642711,790638,0,0,0,0,0,0,0,0,0,1,1,2,2,5,6,8,8,14,19,29,41,60,73,118,177,247,350,472,570
"2524","Massachusetts-Middlesex",42.479477,1614714,0,0,0,0,0,1,1,7,15,41,44,49,60,65,75,83,89,100,119,144,177,199,232,304,446,538,685,842,981
"2553","Massachusetts-Norfolk",42.169703,705388,0,0,1,1,1,2,2,6,10,22,23,24,24,28,31,36,43,45,52,64,69,75,82,129,222,292,393,490,548
"2582","Massachusetts-Worcester",42.311693,830839,0,0,0,0,0,0,0,0,1,1,1,1,2,2,6,6,8,10,14,19,24,37,42,73,129,166,219,291,337
"2611","Michigan-Oakland",42.660452,1259201,0,0,0,0,0,0,0,0,0,1,1,3,6,9,14,14,16,23,105,184,229,277,329,428,543,668,824,1018,1170
"2640","Michigan-Wayne",42.284664,1753893,0,0,0,0,0,0,0,0,0,1,1,1,6,8,13,14,17,23,119,216,349,477,638,873,1122,1389,1810,2316,2704
"2669","Minnesota-Anoka",45.27411,353813,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,5,5,5,5,7,7,7,8,10,12,17
