"","ctname","prop.elder","Population","density","Latitude","pergdp","Meantem2020","fulldate","confirmed","pc1","pc2","pc3","pc4"
"701","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-05,0,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"702","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-06,0,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"703","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-07,0,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"704","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-08,0,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"705","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-09,1,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"706","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-10,1,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"707","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-11,1,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"708","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-12,2,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"709","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-13,2,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"710","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-14,5,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"711","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-15,5,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"712","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-16,7,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"713","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-17,7,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"714","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-18,9,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"715","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-19,13,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"716","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-20,16,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"717","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-21,17,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"718","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-22,18,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"719","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-23,24,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"720","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-24,30,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"721","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-25,36,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"722","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-26,44,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"723","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-27,50,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"724","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-28,54,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"725","Georgia-Cherokee",0.139209676,254149,230,34.244317,23972.28459,6.166666667,2020-03-29,60,"-0.520613015378855","-0.757464951212773","0.0381338902081852","0.393469972339061"
"726","Georgia-Cobb",0.122580645,756865,851.8923632,33.93994,59748.47693,6.555555556,2020-03-01,0,"-0.262519266057064","-0.757048822453807","0.0596131392056953","1.0569916695844"
"727","Georgia-Cobb",0.122580645,756865,851.8923632,33.93994,59748.47693,6.555555556,2020-03-02,0,"-0.262519266057064","-0.757048822453807","0.0596131392056953","1.0569916695844"
"728","Georgia-Cobb",0.122580645,756865,851.8923632,33.93994,59748.47693,6.555555556,2020-03-03,0,"-0.262519266057064","-0.757048822453807","0.0596131392056953","1.0569916695844"
